id,gtld,whois_server
337,koeln,whois.nic.koeln
338,kpmg,whois.nic.kpmg
339,kr,whois.krnic.net
340,krd,whois.nic.krd
341,kred,whois.nic.kred
342,la,whois.nic.la
343,land,whois.nic.land
344,lanxess,whois.nic.lanxess
345,latrobe,whois.nic.latrobe
346,law,whois.nic.law
347,lease,whois.nic.lease
348,lgbt,whois.nic.lgbt
349,li,whois.nic.ch
350,lifeinsurance,whois.nic.lifeinsurance
351,lighting,whois.nic.lighting
352,like,whois.nic.like
353,lilly,whois.nic.lilly
354,limited,whois.nic.limited
355,limo,whois.nic.limo
356,lincoln,whois.nic.lincoln
357,link,whois.nic.link
358,lk,arisen.nic.lk
359,llc,whois.nic.llc
360,loan,whois.nic.loan
361,loft,whois.nic.loft
362,london,whois.nic.london
363,lt,www.whois.lt
364,lu,whois.dns.lu
365,luxury,whois.nic.luxury
366,lv,whois.nic.lv
367,ly,whois.nic.ly
368,ma,whois.ripe.net
369,maison,whois.nic.maison
370,management,whois.nic.management
371,mango,whois.nic.mango
372,map,whois.nic.map
373,marketing,whois.nic.marketing
374,marshalls,whois.nic.marshalls
375,mattel,whois.nic.mattel
376,mc,whois.ripe.net
377,md,whois.nic.md
378,me,whois.nic.me
379,media,whois.nic.media
380,meet,whois.nic.meet
381,melbourne,whois.nic.melbourne
382,men,whois.nic.men
383,menu,whois.nic.menu
384,mg,whois.nic.mg
385,miami,whois.nic.miami
386,mil,is-1.nic.mil
387,mint,whois.nic.mint
388,mk,whois.ripe.net
389,ml,whois.dot.ml
390,mlb,whois.nic.mlb
391,mm,whois.nic.mm
392,mn,whois.afilias-grs.info
393,mobi,whois.dotmobiregistry.net
394,mobily,whois.nic.mobily
395,moda,whois.nic.moda
396,moe,whois.nic.moe
397,moi,whois.nic.moi
398,monash,whois.nic.monash
399,moscow,whois.nic.moscow
400,moto,whois.nic.moto
401,mp,whois.nic.mp
402,ms,whois.nic.ms
403,mt,whois.ripe.net
404,mtn,whois.nic.mtn
405,mu,whois.nic.mu
406,museum,whois.museum
407,mutual,whois.nic.mutual
408,mx,whois.nic.mx
409,my,whois.mynic.net.my
410,na,whois.na-nic.com.na
411,nagoya,whois.nic.nagoya
412,name,whois.nic.name
413,nba,whois.nic.nba
414,net,whois.verisign-grs.com
415,netbank,whois.nic.netbank
416,netflix,whois.nic.netflix
417,neustar,whois.nic.neustar
418,nf,whois.nic.net.nf
419,nfl,whois.nic.nfl
420,nike,whois.nic.nike
421,ninja,whois.nic.ninja
422,nl,whois.domain-registry.nl
423,no,whois.norid.no
424,northwesternmutual,northwesternmutual.whois-servers.net
425,now,whois.nic.now
426,nu,whois.iis.nu
427,nyc,whois.nic.nyc
428,nz,whois.srs.net.nz
429,office,whois.nic.office
430,okinawa,whois.nic.okinawa
431,olayan,whois.nic.olayan
432,olayangroup,whois.nic.olayangroup
433,oldnavy,whois.nic.oldnavy
434,one,whois.nic.one
435,onl,whois.nic.onl
436,open,whois.nic.open
437,org,whois.publicinterestregistry.net
438,osaka,whois.nic.osaka
439,panerai,whois.nic.panerai
440,paris,whois.nic.paris
441,partners,whois.nic.partners
442,parts,whois.nic.parts
443,party,whois.nic.party
444,passagens,whois.nic.passagens
445,pay,whois.nic.pay
446,pe,kero.yachay.pe
447,pfizer,whois.nic.pfizer
448,pharmacy,whois.nic.pharmacy
449,philips,whois.nic.philips
450,photo,whois.nic.photo
451,photography,whois.nic.photography
452,photos,whois.nic.photos
453,physio,whois.nic.physio
454,piaget,whois.nic.piaget
455,pics,whois.nic.pics
456,pictures,whois.nic.pictures
457,pin,whois.nic.pin
458,ping,whois.nic.ping
459,pink,whois.nic.pink
460,pl,whois.dns.pl
461,plumbing,whois.nic.plumbing
462,pm,whois.nic.pm
463,pr,whois.nic.pr
464,pramerica,whois.nic.pramerica
465,praxi,whois.nic.praxi
466,prime,whois.nic.prime
467,pro,whois.registrypro.pro
468,productions,whois.nic.productions
469,properties,whois.nic.properties
470,pru,whois.nic.pru
471,prudential,whois.nic.prudential
472,ps,whois.pnina.ps
473,pt,whois.dns.pt
474,pub,whois.nic.pub
475,pw,whois.nic.pw
476,qpon,whois.nic.qpon
477,quebec,whois.nic.quebec
478,quest,whois.nic.quest
479,qvc,whois.nic.qvc
480,racing,whois.nic.racing
481,re,whois.nic.re
482,read,whois.nic.read
483,recipes,whois.nic.recipes
484,red,whois.nic.red
485,reisen,whois.nic.reisen
486,ren,whois.nic.ren
487,rentals,whois.nic.rentals
488,repair,whois.nic.repair
489,report,whois.nic.report
490,rest,whois.nic.rest
491,review,whois.nic.review
492,reviews,whois.nic.reviews
493,rich,whois.nic.rich
494,rmit,whois.nic.rmit
495,ro,whois.rotld.ro
496,rocher,whois.nic.rocher
497,rocks,whois.nic.rocks
498,rodeo,whois.nic.rodeo
499,room,whois.nic.room
500,rs,whois.rnids.rs
501,ru,whois.ripn.net
502,ruhr,whois.nic.ruhr
503,ryukyu,whois.nic.ryukyu
504,sa,whois.saudinic.net.sa
505,saarland,whois.nic.saarland
506,safe,whois.nic.safe
507,safety,whois.nic.safety
508,sandvik,whois.nic.sandvik
509,sandvikcoromant,whois.nic.sandvikcoromant
510,sas,whois.nic.sas
511,save,whois.nic.save
512,saxo,whois.nic.saxo
513,sb,whois.nic.net.sb
514,sc,whois2.afilias-grs.net
515,schmidt,whois.nic.schmidt
516,schule,whois.nic.schule
517,science,whois.nic.science
518,scor,whois.nic.scor
519,se,whois.iis.se
520,search,whois.nic.search
521,secure,whois.nic.secure
522,seek,whois.nic.seek
523,select,whois.nic.select
524,services,whois.nic.services
525,seven,whois.nic.seven
526,sexy,whois.nic.sexy
527,sg,whois.nic.net.sg
528,sh,whois.nic.sh
529,shiksha,whois.nic.shiksha
530,shoes,whois.nic.shoes
531,shop,whois.nic.shop
532,si,whois.arnes.si
533,silk,whois.nic.silk
534,singles,whois.nic.singles
535,sk,whois.sk-nic.sk
536,skype,whois.nic.skype
537,sm,whois.ripe.net
538,smile,whois.nic.smile
539,sn,whois.nic.sn
540,so,whois.nic.so
541,social,whois.nic.social
542,sohu,whois.nic.sohu
543,solar,whois.nic.solar
544,solutions,whois.nic.solutions
545,song,whois.nic.song
546,soy,whois.nic.soy
547,spot,whois.nic.spot
548,st,whois.nic.st
549,staples,whois.nic.staples
550,starhub,whois.nic.starhub
551,statefarm,whois.nic.statefarm
552,stream,whois.nic.stream
553,study,whois.nic.study
554,su,whois.ripn.net
555,sucks,whois.nic.sucks
556,supplies,whois.nic.supplies
557,supply,whois.nic.supply
558,support,whois.nic.support
559,surgery,whois.nic.surgery
560,swiftcover,whois.nic.swiftcover
561,sydney,whois.nic.sydney
562,systems,whois.nic.systems
563,tab,whois.nic.tab
564,taipei,whois.nic.taipei
565,talk,whois.nic.talk
566,taobao,whois.nic.taobao
567,target,whois.nic.target
568,tattoo,whois.nic.tattoo
569,tax,whois.nic.tax
570,tdk,whois.nic.tdk
571,tech,whois.nic.tech
572,technology,whois.nic.technology
573,tel,whois.nic.tel
574,teva,whois.nic.teva
575,tf,whois.nic.tf
576,th,whois.thnic.net
577,tienda,whois.nic.tienda
578,tips,whois.nic.tips
579,tjmaxx,whois.nic.tjmaxx
580,tjx,whois.nic.tjx
581,tk,whois.dot.tk
582,tkmaxx,whois.nic.tkmaxx
583,tl,whois.nic.tl
584,tm,whois.nic.tm
585,tmall,whois.nic.tmall
586,tn,whois.ripe.net
587,to,whois.tonic.to
588,today,whois.nic.today
589,tokyo,whois.nic.tokyo
590,tools,whois.nic.tools
591,top,whois.nic.top
592,town,whois.nic.town
593,toys,whois.nic.toys
594,tr,whois.nic.tr
595,trade,whois.nic.trade
596,training,whois.nic.training
597,travel,whois.nic.travel
598,trust,whois.nic.trust
599,tube,whois.nic.tube
600,tunes,whois.nic.tunes
601,tushu,whois.nic.tushu
602,tv,tvwhois.verisign-grs.com
603,tw,whois.twnic.net
604,tz,whois.tznic.or.tz
605,ua,whois.ua
606,ug,whois.co.ug
607,uk,whois.nic.uk
608,university,whois.nic.university
609,uno,whois.nic.uno
610,us,whois.nic.us
611,uy,whois.nic.org.uy
612,uz,whois.cctld.uz
613,va,whois.ripe.net
614,vacations,whois.nic.vacations
615,vc,whois2.afilias-grs.net
616,ve,whois.nic.ve
617,vegas,whois.nic.vegas
618,ventures,whois.nic.ventures
619,vg,whois.adamsnames.tc
620,viajes,whois.nic.viajes
621,villas,whois.nic.villas
622,virgin,whois.nic.virgin
623,vision,whois.nic.vision
624,vista,whois.nic.vista
625,vistaprint,whois.nic.vistaprint
626,vivo,whois.nic.vivo
627,vlaanderen,whois.nic.vlaanderen
628,vodka,whois.nic.vodka
629,vote,whois.nic.vote
630,voting,whois.nic.voting
631,voto,whois.nic.voto
632,voyage,whois.nic.voyage
633,vuelos,whois.nic.vuelos
634,wales,whois.nic.wales
635,walter,whois.nic.walter
636,wang,whois.nic.wang
637,wanggou,whois.nic.wanggou
638,watch,whois.nic.watch
639,watches,whois.nic.watches
640,weather,whois.nic.weather
641,weatherchannel,whois.nic.weatherchannel
642,webcam,whois.nic.webcam
643,wed,whois.nic.wed
644,wf,whois.nic.wf
645,whoswho,whois.nic.whoswho
646,wien,whois.nic.wien
647,wiki,whois.nic.wiki
648,williamhill,whois.nic.williamhill
649,win,whois.nic.win
650,winners,whois.nic.winners
651,woodside,whois.nic.woodside
652,works,whois.nic.works
653,wow,whois.nic.wow
654,ws,whois.worldsite.ws
655,wtc,whois.nic.wtc
656,wtf,whois.nic.wtf
657,xn--1ck2e1b,whois.nic.xn--1ck2e1b
658,xn--80aqecdr1a,whois.nic.xn--80aqecdr1a
659,xn--8y0a063a,whois.nic.xn--8y0a063a
660,xn--bck1b9a5dre4c,xn--bck1b9a5dre4c.whois-servers.net. 600 in cname whois.nic.xn--bck1b9a5dre4c
661,xn--cck2b3b,whois.nic.xn--cck2b3b
662,xn--eckvdtc9d,whois.nic.xn--eckvdtc9d
663,xn--fct429k,whois.nic.xn--fct429k
664,xn--fiqs8s,cwhois.cnnic.cn
665,xn--fiqz9s,cwhois.cnnic.cn
666,xn--g2xx48c,whois.nic.xn--g2xx48c
667,xn--gckr3f0f,whois.nic.xn--gckr3f0f
668,xn--gk3at1e,whois.nic.xn--gk3at1e
669,xn--j6w193g,whois.hkirc.hk
670,xn--jvr189m,whois.nic.xn--jvr189m
671,xn--kcrx77d1x4a,whois.nic.xn--kcrx77d1x4a
672,xn--kprw13d,whois.twnic.net.tw
673,xn--kpry57d,whois.twnic.net.tw
674,xn--kpu716f,whois.nic.xn--kpu716f
675,xn--mgba3a3ejt,whois.nic.xn--mgba3a3ejt
676,xn--mgba7c0bbn0a,in cname whois.nic.xn--mgba7c0bbn0a
677,xn--mgbaam7a8h,whois.aeda.net.ae
678,xn--mgbb9fbpob,whois.nic.xn--mgbb9fbpob
679,xn--mgberp4a5d4ar,xn--mgberp4a5d4ar.whois-servers.net. 600 in cname whois.nic.net.sa
680,xn--mgbi4ecexp,whois.nic.xn--mgbi4ecexp
681,xn--ngbc5azd,whois.nic.xn--ngbc5azd
682,xn--nyqy26a,whois.nic.xn--nyqy26a
683,xn--o3cw4h,whois.thnic.co.th
684,xn--p1ai,whois.ripn.net
685,xn--pbt977c,whois.nic.xn--pbt977c
686,xn--rhqv96g,whois.nic.xn--rhqv96g
687,xn--rovu88b,whois.nic.xn--rovu88b
688,xn--tiq49xqyj,whois.nic.xn--tiq49xqyj
689,xn--y9a3aq,whois.amnic.net
690,xn--ygbi2ammx,whois.pnina.ps
691,xxx,whois.nic.xxx
692,xyz,whois.nic.xyz
693,yahoo,whois.nic.yahoo
694,yamaxun,whois.nic.yamaxun
695,yandex,whois.nic.yandex
696,yokohama,whois.nic.yokohama
697,you,whois.nic.you
698,yt,whois.nic.yt
699,za,whois.nic.za
700,zappos,whois.nic.zappos
701,zero,whois.nic.zero
702,zippo,whois.nic.zippo
703,zone,whois.nic.zone
